Fecha,Ubicacion,Colonia,Municipio,Address,Tipo,Google Maps URL,latitude,longitude
44444,CALLE FRANCISCO ZARABIA SN,HUEYTAMALCO CENTRO,HUEYTAMALCO,"HUEYTAMALCO CENTRO, HUEYTAMALCO, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=19.9393905,-97.2888917",19.9393905,-97.2888917
44447,16 DE SEPTIEMBRE --URANGA,GETSEMANI,CUAUTLANCINGO,"GETSEMANI, CUAUTLANCINGO, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=19.1044894,-98.2765151",19.1044894,-98.2765151
44454,GUADALUPE VICTORIA --EJIDO,SAN BALTAZAR CAMPECHE,PUEBLA,"SAN BALTAZAR CAMPECHE, PUEBLA, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=19.0219154,-98.2062614",19.0219154,-98.2062614
44457,CALLE PRINCIPAL ESQ. PORFIRIO DIAZ,METEPEC,ATLIXCO,"METEPEC, ATLIXCO, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=18.939183,-98.4719001",18.939183,-98.4719001
44468,DOMICILIO CONOCIDO,TLAXCO CENTRO,TLAXCO,"TLAXCO CENTRO, TLAXCO, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=19.0412894,-98.20620129999999",19.0412894,-98.2062013
44469,"CALLE PRINCIPAL S-N, EJIDO PALO GACHO",PALO GACHO,ACATENO,"PALO GACHO, ACATENO, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=20.1301056,-97.2090295",20.1301056,-97.2090295
44478,CALLEJON VEGONIA NUM 69 ESQ. CARR A SAN BALTAZAR,TERCERA SECCIÓN,ATLIXCO,"TERCERA SECCIÓN, ATLIXCO, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=18.9378425,-98.4770442",18.9378425,-98.4770442
44509,CARR NAUTLA 256,BARRIO TAXCALA,TEZIUTLÁN,"BARRIO TAXCALA, TEZIUTLÁN, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=19.8229731,-97.3496302",19.8229731,-97.3496302
44512,QUERETARO 10110 ESQUINA MICHOACAN Y PUEBLA,POPULAR CASTILLOTLA,PUEBLA,"POPULAR CASTILLOTLA, PUEBLA, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=18.9976914,-98.2370212",18.9976914,-98.2370212
44521,CALLE ALDAMA S-N,XOYATLA,TEPEOJUMA,"XOYATLA, TEPEOJUMA, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=18.7547221,-98.3902777",18.7547221,-98.3902777
44528,CALLE INDEPENDENCIA NUM. 19,VENTA GRANDE,HUAUCHINANGO,"VENTA GRANDE, HUAUCHINANGO, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=20.118611,-98.0986111",20.118611,-98.0986111
44529,AVENIDA JUAREZ S-N -,SANTA MARIA GUADALUPE TECOLA,PUEBLA,"SANTA MARIA GUADALUPE TECOLA, PUEBLA, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=19.006639,-98.19581199999999",19.006639,-98.195812
44530,CARR LA FAMA A SAN SAN MIGUEL ESPEJO,PUEBLA,PUEBLA,"PUEBLA, PUEBLA, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=19.0414398,-98.2062727",19.0414398,-98.2062727
